Epoch 00102 | Loss 0.6424 | Test Acc 0.5000 | Time(s) 0.0398
Epoch 00103 | Loss 0.6419 | Test Acc 0.5000 | Time(s) 0.0399
Epoch 00104 | Loss 0.6413 | Test Acc 0.5000 | Time(s) 0.0401
Epoch 00105 | Loss 0.6407 | Test Acc 0.5000 | Time(s) 0.0400
Epoch 00106 | Loss 0.6401 | Test Acc 0.5000 | Time(s) 0.0401
Epoch 00107 | Loss 0.6395 | Test Acc 0.5000 | Time(s) 0.0400
Epoch 00108 | Loss 0.6389 | Test Acc 0.5312 | Time(s) 0.0400
Epoch 00109 | Loss 0.6383 | Test Acc 0.5312 | Time(s) 0.0400
Epoch 00110 | Loss 0.6377 | Test Acc 0.5312 | Time(s) 0.0400
Epoch 00111 | Loss 0.6371 | Test Acc 0.5312 | Time(s) 0.0400
Epoch 00112 | Loss 0.6365 | Test Acc 0.5312 | Time(s) 0.0399
Epoch 00113 | Loss 0.6359 | Test Acc 0.5312 | Time(s) 0.0399
Epoch 00114 | Loss 0.6353 | Test Acc 0.5312 | Time(s) 0.0399
Epoch 00115 | Loss 0.6346 | Test Acc 0.5312 | Time(s) 0.0399
Epoch 00116 | Loss 0.6340 | Test Acc 0.5312 | Time(s) 0.0398
Epoch 00117 | Loss 0.6334 | Test Acc 0.5312 | Time(s) 0.0398
Epoch 00118 | Loss 0.6327 | Test Acc 0.5312 | Time(s) 0.0398
Epoch 00119 | Loss 0.6321 | Test Acc 0.5312 | Time(s) 0.0398
Epoch 00120 | Loss 0.6314 | Test Acc 0.5312 | Time(s) 0.0397
Epoch 00121 | Loss 0.6308 | Test Acc 0.5312 | Time(s) 0.0397
Epoch 00122 | Loss 0.6301 | Test Acc 0.5312 | Time(s) 0.0397
Epoch 00123 | Loss 0.6294 | Test Acc 0.5312 | Time(s) 0.0398
Epoch 00124 | Loss 0.6287 | Test Acc 0.5312 | Time(s) 0.0399
Epoch 00125 | Loss 0.6280 | Test Acc 0.5312 | Time(s) 0.0400
Epoch 00126 | Loss 0.6273 | Test Acc 0.5312 | Time(s) 0.0401
Epoch 00127 | Loss 0.6266 | Test Acc 0.5312 | Time(s) 0.0402
Epoch 00128 | Loss 0.6259 | Test Acc 0.5312 | Time(s) 0.0403
Epoch 00129 | Loss 0.6252 | Test Acc 0.5625 | Time(s) 0.0404
Epoch 00130 | Loss 0.6245 | Test Acc 0.5625 | Time(s) 0.0405
Epoch 00131 | Loss 0.6237 | Test Acc 0.5625 | Time(s) 0.0406
Epoch 00132 | Loss 0.6230 | Test Acc 0.5625 | Time(s) 0.0407
Epoch 00133 | Loss 0.6222 | Test Acc 0.5625 | Time(s) 0.0407
Epoch 00134 | Loss 0.6215 | Test Acc 0.5938 | Time(s) 0.0406
Epoch 00135 | Loss 0.6207 | Test Acc 0.5938 | Time(s) 0.0406
Epoch 00136 | Loss 0.6200 | Test Acc 0.6250 | Time(s) 0.0406
Epoch 00137 | Loss 0.6192 | Test Acc 0.6250 | Time(s) 0.0405
Epoch 00138 | Loss 0.6184 | Test Acc 0.6250 | Time(s) 0.0405
Epoch 00139 | Loss 0.6177 | Test Acc 0.6250 | Time(s) 0.0405
Epoch 00140 | Loss 0.6169 | Test Acc 0.6250 | Time(s) 0.0405
Epoch 00141 | Loss 0.6161 | Test Acc 0.6250 | Time(s) 0.0405
Epoch 00142 | Loss 0.6153 | Test Acc 0.6250 | Time(s) 0.0404
Epoch 00143 | Loss 0.6146 | Test Acc 0.6250 | Time(s) 0.0404
Epoch 00144 | Loss 0.6138 | Test Acc 0.6250 | Time(s) 0.0404
Epoch 00145 | Loss 0.6130 | Test Acc 0.6250 | Time(s) 0.0403
Epoch 00146 | Loss 0.6122 | Test Acc 0.6250 | Time(s) 0.0403
Epoch 00147 | Loss 0.6114 | Test Acc 0.6250 | Time(s) 0.0403
Epoch 00148 | Loss 0.6106 | Test Acc 0.6250 | Time(s) 0.0403
Epoch 00149 | Loss 0.6098 | Test Acc 0.6250 | Time(s) 0.0402
Epoch 00150 | Loss 0.6090 | Test Acc 0.6250 | Time(s) 0.0402
Epoch 00151 | Loss 0.6082 | Test Acc 0.6250 | Time(s) 0.0402
Epoch 00152 | Loss 0.6073 | Test Acc 0.6250 | Time(s) 0.0402
Epoch 00153 | Loss 0.6065 | Test Acc 0.6562 | Time(s) 0.0401
Epoch 00154 | Loss 0.6057 | Test Acc 0.6562 | Time(s) 0.0401
Epoch 00155 | Loss 0.6049 | Test Acc 0.6562 | Time(s) 0.0401
Epoch 00156 | Loss 0.6040 | Test Acc 0.6562 | Time(s) 0.0400
Epoch 00157 | Loss 0.6032 | Test Acc 0.6562 | Time(s) 0.0400
Epoch 00158 | Loss 0.6024 | Test Acc 0.6562 | Time(s) 0.0400
Epoch 00159 | Loss 0.6015 | Test Acc 0.6875 | Time(s) 0.0401
Epoch 00160 | Loss 0.6007 | Test Acc 0.6875 | Time(s) 0.0400
Epoch 00161 | Loss 0.5998 | Test Acc 0.6875 | Time(s) 0.0400
Epoch 00162 | Loss 0.5990 | Test Acc 0.6875 | Time(s) 0.0400
Epoch 00163 | Loss 0.5981 | Test Acc 0.6875 | Time(s) 0.0400
Epoch 00164 | Loss 0.5972 | Test Acc 0.6875 | Time(s) 0.0399
Epoch 00165 | Loss 0.5964 | Test Acc 0.6875 | Time(s) 0.0399
Epoch 00166 | Loss 0.5955 | Test Acc 0.6875 | Time(s) 0.0399
Epoch 00167 | Loss 0.5946 | Test Acc 0.6875 | Time(s) 0.0399
Epoch 00168 | Loss 0.5937 | Test Acc 0.6875 | Time(s) 0.0399
Epoch 00169 | Loss 0.5929 | Test Acc 0.6875 | Time(s) 0.0399
Epoch 00170 | Loss 0.5920 | Test Acc 0.6875 | Time(s) 0.0399
Epoch 00171 | Loss 0.5911 | Test Acc 0.7188 | Time(s) 0.0398
Epoch 00172 | Loss 0.5902 | Test Acc 0.7188 | Time(s) 0.0399
Epoch 00173 | Loss 0.5893 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00174 | Loss 0.5884 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00175 | Loss 0.5875 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00176 | Loss 0.5866 | Test Acc 0.7812 | Time(s) 0.0400
Epoch 00177 | Loss 0.5857 | Test Acc 0.7812 | Time(s) 0.0400
Epoch 00178 | Loss 0.5848 | Test Acc 0.7812 | Time(s) 0.0400
Epoch 00179 | Loss 0.5839 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00180 | Loss 0.5829 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00181 | Loss 0.5820 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00182 | Loss 0.5811 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00183 | Loss 0.5802 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00184 | Loss 0.5792 | Test Acc 0.7812 | Time(s) 0.0399
Epoch 00185 | Loss 0.5783 | Test Acc 0.7812 | Time(s) 0.0398
Epoch 00186 | Loss 0.5774 | Test Acc 0.7812 | Time(s) 0.0398
Epoch 00187 | Loss 0.5764 | Test Acc 0.7812 | Time(s) 0.0398
Epoch 00188 | Loss 0.5755 | Test Acc 0.8125 | Time(s) 0.0398
Epoch 00189 | Loss 0.5745 | Test Acc 0.8125 | Time(s) 0.0398
Epoch 00190 | Loss 0.5735 | Test Acc 0.8125 | Time(s) 0.0398
Epoch 00191 | Loss 0.5726 | Test Acc 0.8125 | Time(s) 0.0398
Epoch 00192 | Loss 0.5716 | Test Acc 0.8125 | Time(s) 0.0398
Epoch 00193 | Loss 0.5706 | Test Acc 0.8125 | Time(s) 0.0398
Epoch 00194 | Loss 0.5697 | Test Acc 0.8125 | Time(s) 0.0397
Epoch 00195 | Loss 0.5687 | Test Acc 0.8125 | Time(s) 0.0397
Epoch 00196 | Loss 0.5677 | Test Acc 0.8125 | Time(s) 0.0397
Epoch 00197 | Loss 0.5667 | Test Acc 0.8438 | Time(s) 0.0397
Epoch 00198 | Loss 0.5657 | Test Acc 0.8438 | Time(s) 0.0397
